retailerUniqueId,locationUniqueId,isDeliveryLocationNotAvailable,isPickupLocationNotAvailable
43b10840be79c5f2ca13e5ee0a9430ec,6e0c8f39c5968b07b3a723b964d87bdb,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,25024d8adf11a807abf2ed6a6cef8c54,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,30fe99ffef5675ad454ee8c55801eb50,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,b692b460a2321482266c48d593fa045a,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,0534f4d68675fe5b217f13023e48deea,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,eda1c11f6c6808076b33b06bb0311845,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,37f3ecaf2d177e5e5edfed5034ecef2f,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,fbf07d048e1912650ef91925d9470dde,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,8c59e481fd39acef1dd319d7f7c6c0df,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,06cdaa4d050a4b15fc054cf998e21d2f,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,fcb868cd7eb84275e0296c29ea98704a,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,5b1a37e76ff8065ace15ac14dae87886,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,7264b199c11df3b011259e47227b1998,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,98ab9307fd30a88c46ffe17cc56cd42c,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,50c964de83bfb8ddbf914145411909a2,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,737962c1bfed7a1ad714d49bb6db5e82,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,43506ad2a18cab9aa1851d202ada4701,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,c7114d984615cac6da6488099bc75466,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,f91a115cf358089343eded69888c8908,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,6c0413a3961a5181aa0ed8dc99a2b82f,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,dafdfbe732872e733e561fb3877494db,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,8d69e1dd308265feb60707c0645f7a6f,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,03a0ec0b6b331ccc6ebc54f9dcc45561,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,95bac04257a2861e1d4d548973fea11e,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,9cabddad942d283af83d32e1c2c96c8f,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,786b5637080364414bdc0d8236250ee2,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,75178c237c30c66cc3cddcccb982f00f,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,ac0608dd44ddc4c968923633bec058bb,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,03912d9415d3cb749ce187ea3eb54595,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,7df5b2095bf18d85f56abdf9766da676,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,40c29888aa54f93367715140555f6fa6,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,2aac54f6ca37d81d20edc02aeeead7a1,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,ec064651b3be2f08e08e7aa946a20a0f,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,192e0d94c6795d121274339ab9edf36d,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,228aedc8c3e91ef9f33fab3b2b8d2440,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,fcb1d502f425adc5c62177f025ad5f58,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,57032a99929df8799def01b440b8e334,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,ee038a34e73401406baca9bac3c73ae6,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,ba8ffa1afc7fd8e175c95b9cbdbbfe14,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,f47d916f242d02d1369470ec79d54621,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,af2696f7e171ddb18cd970903290fd38,Y,Y
