optionPOSName,optionDisplayName,optionDisplayDescription,optionId,pricePerUnit,priceLevelId,isActive,uniqueRetailerItemModifierId,uniqueId,optionDisplaySequence,version
Gyro,Gyro,,74,,1,Y,den_garbanzos_b_item_3_mod_1,den_garbanzos_b_item_3_mod_1_option_2,2,
Laffa (Wrap),Laffa (Wrap),,75,,1,Y,den_garbanzos_b_item_3_mod_1,den_garbanzos_b_item_3_mod_1_option_3,3,
Falafel,Falafel,,76,,1,Y,den_garbanzos_b_item_3_mod_2,den_garbanzos_b_item_3_mod_2_option_1,1,
Sirloin Steak,Sirloin Steak,,77,175,1,Y,den_garbanzos_b_item_3_mod_2,den_garbanzos_b_item_3_mod_2_option_2,2,
Chicken,Chicken,,78,125,1,Y,den_garbanzos_b_item_3_mod_2,den_garbanzos_b_item_3_mod_2_option_3,3,
Gyro,Gyro,,79,90,1,Y,den_garbanzos_b_item_3_mod_2,den_garbanzos_b_item_3_mod_2_option_4,4,
Portobello,Portobello,,80,50,1,Y,den_garbanzos_b_item_3_mod_2,den_garbanzos_b_item_3_mod_2_option_5,5,
Extra Chicken,Extra Chicken,,81,349,1,Y,den_garbanzos_b_item_3_mod_3,den_garbanzos_b_item_3_mod_3_option_1,1,
Extra Steak,Extra Steak,,82,349,1,Y,den_garbanzos_b_item_3_mod_3,den_garbanzos_b_item_3_mod_3_option_2,2,
Extra Gyro,Extra Gyro,,83,349,1,Y,den_garbanzos_b_item_3_mod_3,den_garbanzos_b_item_3_mod_3_option_3,3,
Extra Falafel,Extra Falafel,,84,349,1,Y,den_garbanzos_b_item_3_mod_3,den_garbanzos_b_item_3_mod_3_option_4,4,
Extra Portobello,Extra Portobello,,85,349,1,Y,den_garbanzos_b_item_3_mod_3,den_garbanzos_b_item_3_mod_3_option_5,5,
Romaine Lettuce,Romaine Lettuce,,86,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_1,1,
Tabbouleh Salad,Tabbouleh Salad,,87,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_2,2,
Red Onions,Red Onions,,88,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_3,3,
Olive Salad,Olive Salad,,89,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_4,4,
Tomato & Cucumber Salad,Tomato & Cucumber Salad,,90,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_5,5,
Tomatoes,Tomatoes,,91,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_6,6,
Seasoned Yellow Rice,Seasoned Yellow Rice,,92,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_7,7,
Pickles,Pickles,,93,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_8,8,
Pickled Onions,Pickled Onions,,94,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_9,9,
Pepperoncini,Pepperoncini,,95,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_10,10,
Baba Ganoush,Baba Ganoush,,96,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_11,11,
Sauteed Veggies,Sauteed Veggies,,97,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_12,12,
Red Cabbage,Red Cabbage,,98,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_13,13,
Feta Cheese Crumbles,Feta Cheese Crumbles,,99,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_14,14,
Original Hummus,Original Hummus,,100,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_15,15,
Seasonal Hummus,Seasonal Hummus,,101,,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_16,16,
Extra Hummus,Extra Hummus,,102,75,1,Y,den_garbanzos_b_item_3_mod_4,den_garbanzos_b_item_3_mod_4_option_17,17,
Tzatziki,Tzatziki,,103,,1,Y,den_garbanzos_b_item_3_mod_5,den_garbanzos_b_item_3_mod_5_option_1,1,
Cilantro Sauce,Cilantro Sauce,,104,,1,Y,den_garbanzos_b_item_3_mod_5,den_garbanzos_b_item_3_mod_5_option_2,2,
Signature Red Sauce,Signature Red Sauce,,105,,1,Y,den_garbanzos_b_item_3_mod_5,den_garbanzos_b_item_3_mod_5_option_3,3,
Signature White Sauce,Signature White Sauce,,106,,1,Y,den_garbanzos_b_item_3_mod_5,den_garbanzos_b_item_3_mod_5_option_4,4,
Greek Vinaigrette,Greek Vinaigrette,,107,,1,Y,den_garbanzos_b_item_3_mod_5,den_garbanzos_b_item_3_mod_5_option_5,5,
Tahini Sauce,Tahini Sauce,,108,,1,Y,den_garbanzos_b_item_3_mod_5,den_garbanzos_b_item_3_mod_5_option_6,6,
Fresh-Made Chips,Fresh-Made Chips,,109,,1,Y,den_garbanzos_b_item_3_mod_6,den_garbanzos_b_item_3_mod_6_option_1,1,
Dr Pepper (20oz),Dr Pepper (20oz),,110,,1,Y,den_garbanzos_b_item_3_mod_7,den_garbanzos_b_item_3_mod_7_option_1,1,
Mountain Dew (20oz),Mountain Dew (20oz),,111,,1,Y,den_garbanzos_b_item_3_mod_7,den_garbanzos_b_item_3_mod_7_option_2,2,
Sierra Mist (20oz),Sierra Mist (20oz),,112,,1,Y,den_garbanzos_b_item_3_mod_7,den_garbanzos_b_item_3_mod_7_option_3,3,
Pepsi (20oz),Pepsi (20oz),,113,,1,Y,den_garbanzos_b_item_3_mod_7,den_garbanzos_b_item_3_mod_7_option_4,4,
Tropicana Lemonade (20oz),Tropicana Lemonade (20oz),,114,,1,Y,den_garbanzos_b_item_3_mod_7,den_garbanzos_b_item_3_mod_7_option_5,5,
Niagara Water,Niagara Water,,115,,1,Y,den_garbanzos_b_item_3_mod_7,den_garbanzos_b_item_3_mod_7_option_6,6,
Bowl,Bowl,,37,,1,Y,den_garbanzos_b_item_4_mod_1,den_garbanzos_b_item_4_mod_1_option_1,1,
Plate,Plate,,38,,1,Y,den_garbanzos_b_item_4_mod_1,den_garbanzos_b_item_4_mod_1_option_2,2,
Salad,Salad,,39,,1,Y,den_garbanzos_b_item_4_mod_1,den_garbanzos_b_item_4_mod_1_option_3,3,
Falafel,Falafel,,40,,1,Y,den_garbanzos_b_item_4_mod_2,den_garbanzos_b_item_4_mod_2_option_1,1,
Sirloin Steak,Sirloin Steak,,41,175,1,Y,den_garbanzos_b_item_4_mod_2,den_garbanzos_b_item_4_mod_2_option_2,2,
Chicken,Chicken,,42,125,1,Y,den_garbanzos_b_item_4_mod_2,den_garbanzos_b_item_4_mod_2_option_3,3,
Gyro,Gyro,,43,190,1,Y,den_garbanzos_b_item_4_mod_2,den_garbanzos_b_item_4_mod_2_option_4,4,
