itemCategoryName,modifierDisplayName,modifierDisplayDescription,modifierId,maxQuantity,minQuantity,isRequired,isActive,uniqueRetailerItemId,uniqueId,modifierDisplaySequence,version
Choose Size,Choose Size,,90,1,1,Y,N,den_mcdonalds_b_2_item_56,den_mcdonalds_b_2_item_56_mod_1,1,
Customize,Customize,,91,0,0,N,N,den_mcdonalds_b_2_item_56,den_mcdonalds_b_2_item_56_mod_2,2,
Add,Add,,92,0,0,N,N,den_mcdonalds_b_2_item_56,den_mcdonalds_b_2_item_56_mod_3,3,
Choose Size,Choose Size,,93,1,1,Y,N,den_mcdonalds_b_2_item_57,den_mcdonalds_b_2_item_57_mod_1,1,
Customize,Customize,,94,0,0,N,N,den_mcdonalds_b_2_item_57,den_mcdonalds_b_2_item_57_mod_2,2,
Add,Add,,95,0,0,N,N,den_mcdonalds_b_2_item_57,den_mcdonalds_b_2_item_57_mod_3,3,
Choose Size,Choose Size,,96,1,1,Y,N,den_mcdonalds_b_2_item_58,den_mcdonalds_b_2_item_58_mod_1,1,
Customize,Customize,,97,0,0,N,N,den_mcdonalds_b_2_item_58,den_mcdonalds_b_2_item_58_mod_2,2,
Add,Add,,98,0,0,N,N,den_mcdonalds_b_2_item_58,den_mcdonalds_b_2_item_58_mod_3,3,
Choose Size,Choose Size,,99,1,1,Y,N,den_mcdonalds_b_2_item_59,den_mcdonalds_b_2_item_59_mod_1,1,
Customize,Customize,,100,0,0,N,N,den_mcdonalds_b_2_item_59,den_mcdonalds_b_2_item_59_mod_2,2,
Add,Add,,101,0,0,N,N,den_mcdonalds_b_2_item_59,den_mcdonalds_b_2_item_59_mod_3,3,
Choose Size,Choose Size,,102,1,1,Y,Y,den_mcdonalds_b_2_item_60,den_mcdonalds_b_2_item_60_mod_1,1,
Customize,Customize,,103,0,0,N,Y,den_mcdonalds_b_2_item_60,den_mcdonalds_b_2_item_60_mod_2,2,
Add,Add,,104,0,0,N,Y,den_mcdonalds_b_2_item_60,den_mcdonalds_b_2_item_60_mod_3,3,
Choose Size,Choose Size,,105,1,1,Y,Y,den_mcdonalds_b_2_item_61,den_mcdonalds_b_2_item_61_mod_1,1,
Customize,Customize,,106,0,0,N,Y,den_mcdonalds_b_2_item_61,den_mcdonalds_b_2_item_61_mod_2,2,
Add,Add,,107,0,0,N,Y,den_mcdonalds_b_2_item_61,den_mcdonalds_b_2_item_61_mod_3,3,
Choose Size,Choose Size,,108,1,1,Y,Y,den_mcdonalds_b_2_item_62,den_mcdonalds_b_2_item_62_mod_1,1,
Customize,Customize,,109,0,0,N,Y,den_mcdonalds_b_2_item_62,den_mcdonalds_b_2_item_62_mod_2,2,
Add,Add,,110,0,0,N,N,den_mcdonalds_b_2_item_62,den_mcdonalds_b_2_item_62_mod_3,3,
Choose Size,Choose Size,,111,1,1,Y,N,den_mcdonalds_b_2_item_63,den_mcdonalds_b_2_item_63_mod_1,1,
Customize,Customize,,112,0,0,N,N,den_mcdonalds_b_2_item_63,den_mcdonalds_b_2_item_63_mod_2,2,
Add,Add,,113,0,0,N,N,den_mcdonalds_b_2_item_63,den_mcdonalds_b_2_item_63_mod_3,3,
Choose Size,Choose Size,,114,1,1,Y,N,den_mcdonalds_b_2_item_64,den_mcdonalds_b_2_item_64_mod_1,1,
Customize,Customize,,115,0,0,N,N,den_mcdonalds_b_2_item_64,den_mcdonalds_b_2_item_64_mod_2,2,
Add,Add,,116,0,0,N,N,den_mcdonalds_b_2_item_64,den_mcdonalds_b_2_item_64_mod_3,3,
Choose Size,Choose Size,,117,1,1,Y,N,den_mcdonalds_b_2_item_65,den_mcdonalds_b_2_item_65_mod_1,1,
Customize,Customize,,118,0,0,N,N,den_mcdonalds_b_2_item_65,den_mcdonalds_b_2_item_65_mod_2,2,
Add,Add,,119,0,0,N,N,den_mcdonalds_b_2_item_65,den_mcdonalds_b_2_item_65_mod_3,3,
Choose Size,Choose Size,,120,1,1,Y,N,den_mcdonalds_b_2_item_66,den_mcdonalds_b_2_item_66_mod_1,1,
Customize,Customize,,121,0,0,N,N,den_mcdonalds_b_2_item_66,den_mcdonalds_b_2_item_66_mod_2,2,
Add,Add,,122,0,0,N,N,den_mcdonalds_b_2_item_66,den_mcdonalds_b_2_item_66_mod_3,3,
Choose Size,Choose Size,,123,1,1,Y,Y,den_mcdonalds_b_2_item_67,den_mcdonalds_b_2_item_67_mod_1,1,
Customize,Customize,,124,0,0,N,Y,den_mcdonalds_b_2_item_67,den_mcdonalds_b_2_item_67_mod_2,2,
Choose Size,Choose Size,,125,1,1,Y,Y,den_mcdonalds_b_2_item_68,den_mcdonalds_b_2_item_68_mod_1,1,
Customize,Customize,,126,0,0,N,Y,den_mcdonalds_b_2_item_68,den_mcdonalds_b_2_item_68_mod_2,2,
Choose Size,Choose Size,,127,1,1,Y,N,den_mcdonalds_b_2_item_75,den_mcdonalds_b_2_item_75_mod_1,1,
Customize,Customize,,128,0,0,N,N,den_mcdonalds_b_2_item_75,den_mcdonalds_b_2_item_75_mod_2,2,
Choose Size,Choose Size,,129,1,1,Y,N,den_mcdonalds_b_2_item_76,den_mcdonalds_b_2_item_76_mod_1,1,
Customize,Customize,,130,0,0,N,N,den_mcdonalds_b_2_item_76,den_mcdonalds_b_2_item_76_mod_2,2,
Choose Size,Choose Size,,131,1,1,Y,N,den_mcdonalds_b_2_item_77,den_mcdonalds_b_2_item_77_mod_1,1,
Customize,Customize,,132,0,0,N,N,den_mcdonalds_b_2_item_77,den_mcdonalds_b_2_item_77_mod_2,2,
Choose Size,Choose Size,,133,1,1,Y,N,den_mcdonalds_b_2_item_78,den_mcdonalds_b_2_item_78_mod_1,1,
Customize,Customize,,134,0,0,N,N,den_mcdonalds_b_2_item_78,den_mcdonalds_b_2_item_78_mod_2,2,
Choose Size,Choose Size,,135,1,1,Y,N,den_mcdonalds_b_2_item_79,den_mcdonalds_b_2_item_79_mod_1,1,
Customize,Customize,,136,0,0,N,N,den_mcdonalds_b_2_item_79,den_mcdonalds_b_2_item_79_mod_2,2,
Choose Size,Choose Size,,137,1,1,Y,N,den_mcdonalds_b_2_item_80,den_mcdonalds_b_2_item_80_mod_1,1,
Customize,Customize,,138,0,0,N,N,den_mcdonalds_b_2_item_80,den_mcdonalds_b_2_item_80_mod_2,2,
Choose Size,Choose Size,,139,1,1,Y,N,den_mcdonalds_b_2_item_81,den_mcdonalds_b_2_item_81_mod_1,1,
Customize,Customize,,140,0,0,N,N,den_mcdonalds_b_2_item_81,den_mcdonalds_b_2_item_81_mod_2,2,
Choose Size,Choose Size,,141,1,1,Y,N,den_mcdonalds_b_2_item_82,den_mcdonalds_b_2_item_82_mod_1,1,
Choose Size,Choose Size,,142,1,1,Y,N,den_mcdonalds_b_2_item_83,den_mcdonalds_b_2_item_83_mod_1,1,
Choose Size,Choose Size,,143,1,1,Y,N,den_mcdonalds_b_2_item_84,den_mcdonalds_b_2_item_84_mod_1,1,
Customize,Customize,,144,0,0,N,N,den_mcdonalds_b_2_item_85,den_mcdonalds_b_2_item_85_mod_1,1,
Customize,Customize,,145,0,0,N,N,den_mcdonalds_b_2_item_86,den_mcdonalds_b_2_item_86_mod_1,1,
Choose Size,Choose Size,,146,1,1,Y,Y,den_mcdonalds_b_2_item_88,den_mcdonalds_b_2_item_88_mod_1,1,
Customize,Customize,,147,0,0,N,Y,den_mcdonalds_b_2_item_88,den_mcdonalds_b_2_item_88_mod_2,2,
Choose Size,Choose Size,,148,1,1,Y,Y,den_mcdonalds_b_2_item_89,den_mcdonalds_b_2_item_89_mod_1,1,
Customize,Customize,,149,0,0,N,Y,den_mcdonalds_b_2_item_89,den_mcdonalds_b_2_item_89_mod_2,2,
Choose Size,Choose Size,,150,1,1,Y,Y,den_mcdonalds_b_2_item_90,den_mcdonalds_b_2_item_90_mod_1,1,
Customize,Customize,,151,0,0,N,Y,den_mcdonalds_b_2_item_90,den_mcdonalds_b_2_item_90_mod_2,2,
Choose Size,Choose Size,,152,1,1,Y,Y,den_mcdonalds_b_2_item_91,den_mcdonalds_b_2_item_91_mod_1,1,
Customize,Customize,,153,0,0,N,Y,den_mcdonalds_b_2_item_91,den_mcdonalds_b_2_item_91_mod_2,2,
Choose Size,Choose Size,,154,1,1,Y,Y,den_mcdonalds_b_2_item_92,den_mcdonalds_b_2_item_92_mod_1,1,
Customize,Customize,,155,0,0,N,Y,den_mcdonalds_b_2_item_92,den_mcdonalds_b_2_item_92_mod_2,2,
Choose Size,Choose Size,,156,1,1,Y,N,den_mcdonalds_b_2_item_93,den_mcdonalds_b_2_item_93_mod_1,1,
Customize,Customize,,157,0,0,N,N,den_mcdonalds_b_2_item_93,den_mcdonalds_b_2_item_93_mod_2,2,
Choose Size,Choose Size,,158,1,1,Y,N,den_mcdonalds_b_2_item_94,den_mcdonalds_b_2_item_94_mod_1,1,
Customize,Customize,,159,0,0,N,N,den_mcdonalds_b_2_item_94,den_mcdonalds_b_2_item_94_mod_2,2,
Choose Size,Choose Size,,160,1,1,Y,Y,den_mcdonalds_b_2_item_95,den_mcdonalds_b_2_item_95_mod_1,1,
Customize,Customize,,161,0,0,N,Y,den_mcdonalds_b_2_item_95,den_mcdonalds_b_2_item_95_mod_2,2,
Choose Size,Choose Size,,162,1,1,Y,Y,den_mcdonalds_b_2_item_96,den_mcdonalds_b_2_item_96_mod_1,1,
Customize,Customize,,163,0,0,N,Y,den_mcdonalds_b_2_item_96,den_mcdonalds_b_2_item_96_mod_2,2,
Choose Size,Choose Size,,164,1,1,Y,Y,den_mcdonalds_b_2_item_97,den_mcdonalds_b_2_item_97_mod_1,1,
Customize,Customize,,165,0,0,N,Y,den_mcdonalds_b_2_item_97,den_mcdonalds_b_2_item_97_mod_2,2,
