airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
TPA,F,Terminal F,,,81,F81,Gate F81,5,27.97712761655872; -82.53842167492711,N,Y,50,N,N,0
TPA,F,Terminal F,,,82,F82,Gate F82,6,27.977062899184617; -82.53843751955127,N,Y,50,N,N,0
TPA,F,Terminal F,,,83,F83,Gate F83,7,27.976945708165125; -82.53834245180633,N,Y,50,N,N,0
TPA,F,Terminal F,,,84,F84,Gate F84,8,27.976844259120075; -82.53807111261764,N,Y,50,N,N,0
TPA,F,Terminal F,,,85,F85,Gate F85,9,27.976483939321867; -82.53778987053568,N,Y,50,N,N,0
TPA,F,Terminal F,,,86,F86,Gate F86,10,27.976450705882254; -82.53739573550978,N,Y,50,N,N,0
TPA,F,Terminal F,,,87,F87,Gate F87,11,27.976296782444464; -82.53723332810264,N,Y,50,N,N,0
TPA,F,Terminal F,,,88,F88,Gate F88,12,27.976057151203488; -82.53683523190008,N,Y,50,N,N,0
TPA,F,Terminal F,,,89,F89,Gate F89,13,27.975918969445797; -82.5365123976829,N,Y,50,N,N,0
TPA,F,Terminal F,,,90,F90,Gate F90,14,27.97582801426818; -82.53637573779955,N,Y,50,N,N,0
TPA,F,Terminal F,,,-1,ASF - LVL 1 CBP Lobby,LVL 1 CBP Lobby,18,"27.976751205519523, -82.53699718583735",N,Y,50,N,N,0
TPA,F,Terminal F,,,-2,ASF - LVL 3 American Club,LVL 3 American Club,15,"27.976439713039326, -82.53750412334459",N,Y,50,N,N,0
TPA,F,Terminal F,,,-3,ASF - LVL 2 Bay to Bay Hallway,LVL 2 Bay to Bay Hallway,17,"27.97671330534444, -82.53798826207156",N,Y,50,N,N,0
TPA,F,Terminal F,,,-4,ASF - LVL 2 Flagship Breakroom ,LVL 2 Flagship Breakroom ,19,"27.976644611237678, -82.53705217111924",N,Y,50,N,N,0
TPA,F,Terminal F,,,-5,ASF - LVL 1 American Elevator Hallway,LVL 1 American Elevator Hallway,16,"27.97699281884831, -82.53841339219838",N,Y,50,N,N,0
TPA,MT,Main Terminal ,,,-1,Terminal - LVL 2 USO ,LVL 2 USO ,13,"27.98000910721207, -82.53469048609605",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-2,Terminal - LVL 1 Red APM ,LVL 1 Red APM ,5,"27.98022110468264, -82.53395824303131",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-3,Terminal - LVL 1 Blue APM ,LVL 1 Blue APM ,1,"27.979730785877038, -82.53390996326871",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-4,Terminal - LVL 3 Boardroom ,LVL 3 Boardroom ,16,"27.979742629352703, -82.53401725163003",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-5,Terminal - LVL 3 Info Center ,LVL 3 Info Center ,19,"27.98000910721207, -82.53469048609605",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-6,Terminal - LVL 3 Executive Office ,LVL 3 Executive Office ,17,"27.98017017795392, -82.53430424799662",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-7,Terminal - LVL 3 Red Yeager Hallway ,LVL 3 Red Yeager Hallway ,21,"27.98016899361146, -82.53487824072839",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-8,Terminal - LVL 3 Red Sikorsky Hallway  ,LVL 3 Red Sikorsky Hallway  ,20,"27.980158334525555, -82.53448797931402",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-9,Terminal - LVL 1 Red Yeager Elevators ,LVL 1 Red Yeager Elevators ,8,"27.98016899361146, -82.53487824072839",N,Y,50,Y,N,0
