airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
EWR,C,Terminal C,Pre-Security,Pre-Security,-8,UA Ticket (L2 D1),UA Ticket (L2 D1),10,40.6951474876167; -74.17757078423287,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-9,ABM Office,ABM Office,7,40.69514464883625; -74.17756652164196,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-10,UA Ticket (L2 D2),UA Ticket (L2 D2),11,40.69514534538224; -74.17756756874006,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-11,UA Ticket (L2 D3),UA Ticket (L2 D3),12,40.69514470733832; -74.17756661011589,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-12,United Office (L2 D5),United Office (L2 D5),15,40.69514693071706; -74.17755346322319,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-13,Carousel 9,Carousel 9,6,40.69514539596654; -74.17756226790418,N,Y,50,Y,Y,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-14,Clear Office,Clear Office,5,40.69514460526777; -74.17756680398857,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-15,TSA Lane 19 (C2),TSA Lane 19 (C2),3,40.69532816632256; -74.17784179782362,N,Y,50,Y,Y,0
EWR,P3,P3 Car Rental Counters,P3,Car Rental Counters,-1,Car Rental Counters,Car Rental Counters,1,40.68985810037086; -74.18593210746273,Y,Y,50,Y,Y,0
EWR,P4,P4 Daily Parking,P4,Daily Parking,-1,Daily Parking Garage,Daily Parking Garage,1,40.69441987213865; -74.1817245424147,Y,Y,50,Y,Y,0
